"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,42,"CAN","Canada",1,"Alberta",1,"Division No. 10","Census Division","Census Division",NA,NA
2,42,"CAN","Canada",1,"Alberta",2,"Division No. 11","Census Division","Census Division",NA,NA
3,42,"CAN","Canada",1,"Alberta",3,"Division No. 12","Census Division","Census Division",NA,NA
4,42,"CAN","Canada",1,"Alberta",4,"Division No. 13","Census Division","Census Division",NA,NA
5,42,"CAN","Canada",1,"Alberta",5,"Division No. 14","Census Division","Census Division",NA,NA
6,42,"CAN","Canada",1,"Alberta",6,"Division No. 15","Census Division","Census Division",NA,NA
7,42,"CAN","Canada",1,"Alberta",7,"Division No. 16","Census Division","Census Division",NA,NA
8,42,"CAN","Canada",1,"Alberta",8,"Division No. 17","Census Division","Census Division",NA,NA
9,42,"CAN","Canada",1,"Alberta",9,"Division No. 18","Census Division","Census Division",NA,NA
10,42,"CAN","Canada",1,"Alberta",10,"Division No. 19","Census Division","Census Division",NA,NA
11,42,"CAN","Canada",1,"Alberta",11,"Division No. 1","Census Division","Census Division",NA,NA
12,42,"CAN","Canada",1,"Alberta",12,"Division No. 2","Census Division","Census Division",NA,NA
13,42,"CAN","Canada",1,"Alberta",13,"Division No. 3","Census Division","Census Division",NA,NA
14,42,"CAN","Canada",1,"Alberta",14,"Division No. 4","Census Division","Census Division",NA,NA
15,42,"CAN","Canada",1,"Alberta",15,"Division No. 5","Census Division","Census Division",NA,NA
16,42,"CAN","Canada",1,"Alberta",16,"Division No. 6","Census Division","Census Division",NA,NA
17,42,"CAN","Canada",1,"Alberta",17,"Division No. 7","Census Division","Census Division",NA,NA
18,42,"CAN","Canada",1,"Alberta",18,"Division No. 8","Census Division","Census Division",NA,NA
19,42,"CAN","Canada",1,"Alberta",19,"Division No. 9","Census Division","Census Division",NA,NA
20,42,"CAN","Canada",2,"British Columbia",20,"Alberni-Clayoquot","Regional District","Regional District",NA,NA
21,42,"CAN","Canada",2,"British Columbia",21,"Bulkley-Nechako","Regional District","Regional District",NA,NA
22,42,"CAN","Canada",2,"British Columbia",22,"Capital","Regional District","Regional District",NA,NA
23,42,"CAN","Canada",2,"British Columbia",23,"Cariboo","Regional District","Regional District",NA,NA
24,42,"CAN","Canada",2,"British Columbia",24,"Central Coast","Regional District","Regional District",NA,NA
25,42,"CAN","Canada",2,"British Columbia",25,"Central Kootenay","Regional District","Regional District",NA,NA
26,42,"CAN","Canada",2,"British Columbia",26,"Central Okanagan","Regional District","Regional District",NA,NA
27,42,"CAN","Canada",2,"British Columbia",27,"Columbia-Shuswap","Regional District","Regional District",NA,NA
28,42,"CAN","Canada",2,"British Columbia",28,"Comox-Strathcona","Regional District","Regional District",NA,NA
29,42,"CAN","Canada",2,"British Columbia",29,"Cowichan Valley","Regional District","Regional District",NA,NA
30,42,"CAN","Canada",2,"British Columbia",30,"East Kootenay","Regional District","Regional District",NA,NA
31,42,"CAN","Canada",2,"British Columbia",31,"Fraser-Fort George","Regional District","Regional District",NA,NA
32,42,"CAN","Canada",2,"British Columbia",32,"Fraser Valley","Regional District","Regional District",NA,NA
33,42,"CAN","Canada",2,"British Columbia",33,"Greater Vancouver","Regional District","Regional District",NA,NA
34,42,"CAN","Canada",2,"British Columbia",34,"Kitimat-Stikine","Regional District","Regional District",NA,NA
35,42,"CAN","Canada",2,"British Columbia",35,"Kootenay Boundary","Regional District","Regional District",NA,NA
36,42,"CAN","Canada",2,"British Columbia",36,"Mount Waddington","Regional District","Regional District",NA,NA
37,42,"CAN","Canada",2,"British Columbia",37,"Nanaimo","Regional District","Regional District",NA,NA
38,42,"CAN","Canada",2,"British Columbia",38,"North Okanagan","Regional District","Regional District",NA,NA
39,42,"CAN","Canada",2,"British Columbia",39,"Northern Rockies","Regional District","Regional District",NA,NA
40,42,"CAN","Canada",2,"British Columbia",40,"Okanagan-Similkameen","Regional District","Regional District",NA,NA
41,42,"CAN","Canada",2,"British Columbia",41,"Peace River","Regional District","Regional District",NA,NA
42,42,"CAN","Canada",2,"British Columbia",42,"Powell River","Regional District","Regional District",NA,NA
43,42,"CAN","Canada",2,"British Columbia",43,"Skeena-Queen Charlotte","Regional District","Regional District",NA,NA
44,42,"CAN","Canada",2,"British Columbia",44,"Squamish-Lillooet","Regional District","Regional District",NA,NA
45,42,"CAN","Canada",2,"British Columbia",45,"Stikine","Region","Region",NA,NA
46,42,"CAN","Canada",2,"British Columbia",46,"Sunshine Coast","Regional District","Regional District",NA,NA
