"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",1,"Andrew","Village","Village",NA,NA
2,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",2,"Bashaw","Town","Town",NA,NA
3,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",3,"Bawlf","Village","Village",NA,NA
4,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",4,"Beaver County","County Municipality","County Municipality",NA,NA
5,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",5,"Bittern Lake","Village","Village",NA,NA
6,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",6,"Bruderheim","Town","Town",NA,NA
7,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",7,"Camrose County No. 22","County Municipality","County Municipality",NA,NA
8,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",8,"Camrose","Cité","City",NA,NA
9,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",9,"Chipman","Village","Village",NA,NA
10,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",10,"Derwent","Village","Village",NA,NA
11,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",11,"Dewberry","Village","Village",NA,NA
12,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",12,"Edberg","Village","Village",NA,NA
13,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",13,"Ferintosh","Village","Village",NA,NA
14,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",14,"Hay Lakes","Village","Village",NA,NA
15,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",15,"Holden","Village","Village",NA,NA
16,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",16,"Improvement District No. 13","Improvement District","Improvement District",NA,NA
17,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",17,"Innisfree","Village","Village",NA,NA
18,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",18,"Kitscoty","Village","Village",NA,NA
19,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",19,"Lamont County","County Municipality","County Municipality",NA,NA
20,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",20,"Lamont","Town","Town",NA,NA
21,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",21,"Lloydminster (Part)","Cité","City",NA,NA
22,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",22,"Makaoo (Part) 120","Réserve Indienne","Indian Reserve",NA,NA
23,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",23,"Mannville","Village","Village",NA,NA
24,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",24,"Marwayne","Village","Village",NA,NA
25,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",25,"Minburn County No. 27","County Municipality","County Municipality",NA,NA
26,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",26,"Minburn","Village","Village",NA,NA
27,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",27,"Mundare","Town","Town",NA,NA
28,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",28,"Myrnam","Village","Village",NA,NA
29,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",29,"New Norway","Village","Village",NA,NA
30,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",30,"Paradise Valley","Village","Village",NA,NA
31,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",31,"Rosalind","Village","Village",NA,NA
32,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",32,"Ryley","Village","Village",NA,NA
33,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",33,"Tofield","Town","Town",NA,NA
34,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",34,"Two Hills County No. 21","County Municipality","County Municipality",NA,NA
35,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",35,"Two Hills","Town","Town",NA,NA
36,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",36,"Vegreville","Town","Town",NA,NA
37,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",37,"Vermilion River County No. 24","County Municipality","County Municipality",NA,NA
38,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",38,"Vermilion","Town","Town",NA,NA
39,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",39,"Viking","Town","Town",NA,NA
40,42,"CAN","Canada",1,"Alberta",1,"Division No. 10",40,"Willingdon","Village","Village",NA,NA
41,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",41,"Alexander 134","Réserve Indienne","Indian Reserve",NA,NA
42,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",42,"Argentia Beach","Summer Village","Summer Village",NA,NA
43,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",43,"Beaumont","Town","Town",NA,NA
44,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",44,"Betula Beach","Summer Village","Summer Village",NA,NA
45,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",45,"Bon Accord","Town","Town",NA,NA
46,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",46,"Brazeau No. 77","Municipal District","Municipal District",NA,NA
47,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",47,"Breton","Village","Village",NA,NA
48,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",48,"Calmar","Town","Town",NA,NA
49,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",49,"Crystal Springs","Summer Village","Summer Village",NA,NA
50,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",50,"Devon","Town","Town",NA,NA
51,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",51,"Drayton Valley","Town","Town",NA,NA
52,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",52,"Edmonton","Cité","City",NA,NA
53,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",53,"Ermineskin 138","Réserve Indienne","Indian Reserve",NA,NA
54,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",54,"Fort Saskatchewan","Cité","City",NA,NA
55,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",55,"Gibbons","Town","Town",NA,NA
56,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",56,"Golden Days","Summer Village","Summer Village",NA,NA
57,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",57,"Grandview","Summer Village","Summer Village",NA,NA
58,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",58,"Itaska Beach","Summer Village","Summer Village",NA,NA
59,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",59,"Kapasiwin","Summer Village","Summer Village",NA,NA
60,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",60,"Lakeview","Summer Village","Summer Village",NA,NA
61,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",61,"Leduc County","County Municipality","County Municipality",NA,NA
62,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",62,"Leduc","Cité","City",NA,NA
63,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",63,"Legal","Town","Town",NA,NA
64,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",64,"Louis Bull 138B","Réserve Indienne","Indian Reserve",NA,NA
65,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",65,"Ma-Me-O Beach","Summer Village","Summer Village",NA,NA
66,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",66,"Millet","Town","Town",NA,NA
67,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",67,"Morinville","Town","Town",NA,NA
68,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",68,"New Sarepta","Village","Village",NA,NA
69,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",69,"Norris Beach","Summer Village","Summer Village",NA,NA
70,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",70,"Parkland County","County Municipality","County Municipality",NA,NA
71,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",71,"Pigeon Lake 138A","Réserve Indienne","Indian Reserve",NA,NA
72,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",72,"Point Alison","Summer Village","Summer Village",NA,NA
73,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",73,"Poplar Bay","Summer Village","Summer Village",NA,NA
74,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",74,"Redwater","Town","Town",NA,NA
75,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",75,"Seba Beach","Summer Village","Summer Village",NA,NA
76,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",76,"Silver Beach","Summer Village","Summer Village",NA,NA
77,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",77,"Spring Lake","Village","Village",NA,NA
78,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",78,"Spruce Grove","Cité","City",NA,NA
79,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",79,"St. Albert","Cité","City",NA,NA
80,42,"CAN","Canada",1,"Alberta",2,"Division No. 11",80,"Stony Plain 135","Réserve Indienne","Indian Reserve",NA,NA
